axiom,status,registry_source,registry_source_url,defining_named_categories,interface_declarations,implementation_or_binding_declarations,method_expansions
Flying,test-only placeholder,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,category_with_axiom.Blahs:Flying,category_with_axiom.Blahs:Flying [nested category class],category_with_axiom.Blahs:Flying -> _with_axiom(Flying)
Blue,test-only placeholder,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,category_with_axiom.Blahs:Blue,category_with_axiom.Blahs:Unital.Blue [nested category class],category_with_axiom.Blahs:Blue -> _with_axiom(Blue)
Compact,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,topological_spaces.TopologicalSpaces:Compact,topological_spaces.TopologicalSpaces:Compact [nested category class],topological_spaces.TopologicalSpaces:Compact -> _with_axiom(Compact)
Differentiable,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,manifolds.Manifolds:Differentiable; vector_bundles.VectorBundles:Differentiable,manifolds.Manifolds:Differentiable [nested category class]; vector_bundles.VectorBundles:Differentiable [nested category class],manifolds.Manifolds:Differentiable -> _with_axiom(Differentiable); vector_bundles.VectorBundles:Differentiable -> _with_axiom(Differentiable)
Smooth,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,manifolds.Manifolds:Smooth; vector_bundles.VectorBundles:Smooth,manifolds.Manifolds:Smooth [nested category class]; vector_bundles.VectorBundles:Smooth [nested category class],manifolds.Manifolds:Smooth -> _with_axiom(Smooth); vector_bundles.VectorBundles:Smooth -> _with_axiom(Smooth)
Analytic,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,manifolds.Manifolds:Analytic,manifolds.Manifolds:Analytic [nested category class],manifolds.Manifolds:Analytic -> _with_axiom(Analytic)
AlmostComplex,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,manifolds.Manifolds:AlmostComplex,manifolds.Manifolds:AlmostComplex [nested category class],manifolds.Manifolds:AlmostComplex -> _with_axiom(AlmostComplex)
FinitelyGeneratedAsMagma,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,finitely_generated_magmas.FinitelyGeneratedMagmas; finitely_generated_semigroups.FinitelyGeneratedSemigroups,magmas.Magmas:FinitelyGeneratedAsMagma,magmas.Magmas:FinitelyGeneratedAsMagma [lazy-import binding]; semigroups.Semigroups:FinitelyGeneratedAsMagma [lazy-import binding],magmas.Magmas:FinitelyGeneratedAsMagma -> _with_axiom(FinitelyGeneratedAsMagma)
WellGenerated,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,finite_complex_reflection_groups.FiniteComplexReflectionGroups:WellGenerated,finite_complex_reflection_groups.FiniteComplexReflectionGroups:WellGenerated [nested category class],finite_complex_reflection_groups.FiniteComplexReflectionGroups:WellGenerated -> _with_axiom(WellGenerated)
Bounded,production,src/sage/categories/category_with_axiom.py:1676,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_with_axiom.py#L1676,,posets.Posets:Bounded,posets.Posets:Bounded [nested category class],posets.Posets:Bounded -> _with_axiom(Bounded)
