category_id,constructor,module,source_line,source,source_url,bases,role,implementation_kind,defining_relation,direct_defining_axiom,syntactic_defining_axiom_chain,defining_functorial_construction,bound_as,local_axiom_paths,local_functorial_construction_paths,other_local_category_paths,notes
examples.semigroups_cython.IdempotentSemigroups,IdempotentSemigroups,examples/semigroups_cython,13,src/sage/categories/examples/semigroups_cython.pyx:13,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/examples/semigroups_cython.pyx#L13,Category,example-only category class,Cython class,supercategory Semigroups(),,,,,,,,Demonstration category used by the Cython semigroup example.
category_types.AbelianCategory,AbelianCategory,category_types,334,src/sage/categories/category_types.py:334,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_types.py#L334,Category,framework/helper category class,Python class,,,,,,,,,
algebra_functor.AlgebrasCategory,AlgebrasCategory,algebra_functor,640,src/sage/categories/algebra_functor.py:640,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/algebra_functor.py#L640,"CovariantConstructionCategory, Category_over_base_ring",framework/helper category class,Python class,,,,,,,,,
cartesian_product.CartesianProductsCategory,CartesianProductsCategory,cartesian_product,225,src/sage/categories/cartesian_product.py:225,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/cartesian_product.py#L225,CovariantConstructionCategory,framework/helper category class,Python class,,,,,,,CartesianProducts,,
category.Category,Category,category,131,src/sage/categories/category.py:131,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category.py#L131,"UniqueRepresentation, SageObject",framework/helper category class,Python class,,,,,,,Realizations; WithRealizations,,
category_types.Category_ideal,Category_ideal,category_types,579,src/sage/categories/category_types.py:579,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_types.py#L579,Category_in_ambient,framework/helper category class,Python class,,,,,,,,,
category_types.Category_in_ambient,Category_in_ambient,category_types,534,src/sage/categories/category_types.py:534,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_types.py#L534,Category,framework/helper category class,Python class,,,,,,,,,
category_types.Category_module,Category_module,category_types,575,src/sage/categories/category_types.py:575,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_types.py#L575,"AbelianCategory, Category_over_base_ring",framework/helper category class,Python class,,,,,,,,,
category_types.Category_over_base,Category_over_base,category_types,147,src/sage/categories/category_types.py:147,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_types.py#L147,CategoryWithParameters,framework/helper category class,Python class,,,,,,,,,
category_types.Category_over_base_ring,Category_over_base_ring,category_types,347,src/sage/categories/category_types.py:347,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/category_types.py#L347,Category_over_base,framework/helper category class,Python class,,,,,,,,,
