category_id,owner_path,relative_path,feature_name,feature_type,declaration_kind,target_or_expansion,source,source_url,notes
additive_groups.AdditiveGroups,AdditiveGroups,AdditiveCommutative,AdditiveCommutative,axiom,lazy-import binding,sage.categories.commutative_additive_groups.CommutativeAdditiveGroups,src/sage/categories/additive_groups.py:69,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_groups.py#L69,
additive_groups.AdditiveGroups,AdditiveGroups,Algebras,Algebras,functorial construction,nested category class,AlgebrasCategory,src/sage/categories/additive_groups.py:58,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_groups.py#L58,
additive_groups.AdditiveGroups,AdditiveGroups,Finite,Finite,axiom,nested category class,CategoryWithAxiom,src/sage/categories/additive_groups.py:62,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_groups.py#L62,
additive_groups.AdditiveGroups,AdditiveGroups.Finite,Finite.Algebras,Algebras,functorial construction,nested category class,AlgebrasCategory,src/sage/categories/additive_groups.py:63,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_groups.py#L63,
additive_magmas.AdditiveMagmas,AdditiveMagmas,AdditiveAssociative,AdditiveAssociative,axiom,lazy-import binding,sage.categories.additive_semigroups.AdditiveSemigroups,src/sage/categories/additive_magmas.py:167,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_magmas.py#L167,
additive_magmas.AdditiveMagmas,AdditiveMagmas,AdditiveAssociative,AdditiveAssociative,axiom,subcategory interface method,_with_axiom(AdditiveAssociative),src/sage/categories/additive_magmas.py:78,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_magmas.py#L78,
additive_magmas.AdditiveMagmas,AdditiveMagmas,AdditiveCommutative,AdditiveCommutative,axiom,nested category class,CategoryWithAxiom,src/sage/categories/additive_magmas.py:563,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_magmas.py#L563,
additive_magmas.AdditiveMagmas,AdditiveMagmas,AdditiveCommutative,AdditiveCommutative,axiom,subcategory interface method,_with_axiom(AdditiveCommutative),src/sage/categories/additive_magmas.py:104,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_magmas.py#L104,
additive_magmas.AdditiveMagmas,AdditiveMagmas.AdditiveCommutative,AdditiveCommutative.Algebras,Algebras,functorial construction,nested category class,AlgebrasCategory,src/sage/categories/additive_magmas.py:580,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_magmas.py#L580,
additive_magmas.AdditiveMagmas,AdditiveMagmas.AdditiveCommutative,AdditiveCommutative.CartesianProducts,CartesianProducts,functorial construction,nested category class,CartesianProductsCategory,src/sage/categories/additive_magmas.py:564,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/additive_magmas.py#L564,
